,gender,event,medal,athlete,abb,country,grp_id,type,year,guide,ISOnumeric
0,Men,Double FITA Round Amputee,Gold,LARSEN Finn,DEN,,,Archery,1980,,208
1,Men,Double FITA Round Amputee,Silver,BRENNE Manfred,FRG,,,Archery,1980,,-1
2,Men,Double FITA Round Amputee,Bronze,SATO Masao,JPN,,,Archery,1980,,392
3,Men,Double FITA Round Paraplegic,Gold,GEISS H.,FRG,,,Archery,1980,,-1
4,Men,Double FITA Round Paraplegic,Silver,GRUN Guy,BEL,,,Archery,1980,,56
5,Men,Double FITA Round Paraplegic,Bronze,BUCHANAN J.,GBR,,,Archery,1980,,826
6,Men,Double FITA Round Tetraplegic,Gold,PARKER T.,CAN,,,Archery,1980,,124
7,Men,Double FITA Round Tetraplegic,Silver,STEBEKK Oddbjorn,NOR,,,Archery,1980,,578
8,Men,Double FITA Round Tetraplegic,Bronze,LAFONT G.,FRA,,,Archery,1980,,250
9,Men,Double FITA Round Novice Paraplegic,Gold,CHAVEZ Alfredo,MEX,,,Archery,1980,,484
10,Men,Double FITA Round Novice Paraplegic,Silver,WALSTRA Jappie,NED,,,Archery,1980,,528
11,Men,Double FITA Round Novice Paraplegic,Bronze,VAN DER LIEFVOORT H.,NED,,,Archery,1980,,528
12,Men,Double FITA Round Novice Tetraplegic,Gold,KARKAINEN K.,FIN,,,Archery,1980,,246
13,Men,Double FITA Round Novice Tetraplegic,Silver,KISHINO Tadashi,JPN,,,Archery,1980,,392
14,Men,Double FITA Round Novice Tetraplegic,Bronze,ANDERSSON-TANNERSTAD Kent,SWE,,,Archery,1980,,752
15,Men,Short Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,,,Archery,1980,,250
16,Men,Short Metric Round Paraplegic,Silver,ZEISE L.,USA,,,Archery,1980,,840
17,Men,Short Metric Round Paraplegic,Bronze,THION J.,FRA,,,Archery,1980,,250
18,Men,Short Metric Round Tetraplegic,Gold,HENKER Siegmar,FRG,,,Archery,1980,,-1
19,Men,Short Metric Round Tetraplegic,Silver,TREWHELLA Ian,AUS,,,Archery,1980,,36
20,Men,Short Metric Round Tetraplegic,Bronze,KRISTIANSEN Svein,NOR,,,Archery,1980,,578
21,Men,Advanced Metric Round Paraplegic,Gold,KIM Yoon Bae,KOR,,,Archery,1980,,410
22,Men,Advanced Metric Round Paraplegic,Silver,PETSCHNIG M.,AUT,,,Archery,1980,,40
23,Men,Advanced Metric Round Paraplegic,Bronze,LETTNER Felix,AUT,,,Archery,1980,,40
24,Women,Double FITA Round Amputee,Gold,ROSVIK Marie,NOR,,,Archery,1980,,578
