gender,event,medal,athlete,abb,country,grp_id,type,year,guide,ISOnumeric
Men,Double FITA Round Amputee,Silver,BRENNE Manfred,FRG,,,Archery,1980,,-1
Men,Double FITA Round Paraplegic,Gold,GEISS H.,FRG,,,Archery,1980,,-1
Men,Short Metric Round Tetraplegic,Gold,HENKER Siegmar,FRG,,,Archery,1980,,-1
Women,Double FITA Round Paraplegic,Bronze,DERSEN Anneliese,FRG,,,Archery,1980,,-1
Men,Double FITA Round Team Amputee,Gold,BRENNE Manfred,FRG,FR Germany,1.0,Archery,1980,,-1
Men,Double FITA Round Team Amputee,Gold,BUTENHOFF Hilmar,FRG,FR Germany,2.0,Archery,1980,,-1
Men,Double FITA Round Team Amputee,Gold,POHL K.,FRG,FR Germany,3.0,Archery,1980,,-1
Men,Double FITA Round Team Paraplegic,Bronze,GEISS H.PFEFFER U.SCHMIDBERGER R.,FRG,FR Germany,1.0,Archery,1980,,-1
Women,Double FITA Round Integrated,Gold,DERSEN Anneliese,FRG,,,Archery,1984,,-1
Men,Double FITA Round Team Integrated,Bronze,BOECKERS Manfred,FRG,FR Germany,1.0,Archery,1984,,-1
Men,Double FITA Round Team Integrated,Bronze,BRENNE Manfred,FRG,FR Germany,2.0,Archery,1984,,-1
Men,Double FITA Round Team Integrated,Bronze,BUTENHOFF Kilmar,FRG,FR Germany,3.0,Archery,1984,,-1
Men,Double FITA Round 2-6,Bronze,WOLF Udo,FRG,,,Archery,1988,,-1
Women,Double FITA Round Open,Silver,DERSEN Anneliese,FRG,,,Archery,1988,,-1
Women,Double FITA Round Team 2-6,Silver,DROSDZIOK Ursula,FRG,FR Germany,1.0,Archery,1988,,-1
Women,Double FITA Round Team 2-6,Silver,ENZMANN Inge,FRG,FR Germany,2.0,Archery,1988,,-1
Women,Double FITA Round Team 2-6,Silver,KIEBLICH Karin,FRG,FR Germany,3.0,Archery,1988,,-1
Women,Individual Open,Gold,GRISHKO Tatiana,EUN,,,Archery,1992,,-1
Men,100 m D,Gold,WAGNER K.,FRG,,,Athletics,1980,,-1
Men,100 m D,Bronze,WILL K.,FRG,,,Athletics,1980,,-1
Men,100 m F1,Gold,BERG Matthias,FRG,,,Athletics,1980,,-1
Men,100 m F1,Bronze,SCHARMENTKE R.,FRG,,,Athletics,1980,,-1
Men,400 m A,Silver,MEYER Klaus,FRG,,,Athletics,1980,,-1
Men,400 m C,Gold,JOHANN Jurgen,FRG,,,Athletics,1980,,-1
Men,400 m D,Silver,WILL K.,FRG,,,Athletics,1980,,-1
Men,400 m D,Bronze,WAGNER K.,FRG,,,Athletics,1980,,-1
Men,400 m F1,Gold,BERG Matthias,FRG,,,Athletics,1980,,-1
Men,400 m F1,Silver,SCHARMENTKE R.,FRG,,,Athletics,1980,,-1
Men,1500 m F,Gold,SCHROEDER Karl,FRG,,,Athletics,1980,,-1
Men,5000 m Walk A,Bronze,JANCIC Miroslav,YUG,,,Athletics,1980,,-1
Men,Slalom F1,Gold,BRAND Andreas,FRG,,,Athletics,1980,,-1
Men,Slalom F1,Silver,BERG Matthias,FRG,,,Athletics,1980,,-1
Men,Slalom 3,Silver,GOLOMBEK Gregor,FRG,,,Athletics,1980,,-1
Men,High Jump B,Bronze,KNORRS W.,FRG,,,Athletics,1980,,-1
Men,High Jump C,Gold,JOHANN Jurgen,FRG,,,Athletics,1980,,-1
Men,High Jump D,Bronze,KOLODZIE Norbert,FRG,,,Athletics,1980,,-1
Men,Long Jump B,Bronze,KNORRS W.,FRG,,,Athletics,1980,,-1
Men,Long Jump C,Silver,JOHANN Jurgen,FRG,,,Athletics,1980,,-1
Men,Long Jump D,Bronze,KOLODZIE Norbert,FRG,,,Athletics,1980,,-1
Men,Long Jump F1,Gold,BERG Matthias,FRG,,,Athletics,1980,,-1
Men,Long Jump F1,Bronze,SCHARMENTKE R.,FRG,,,Athletics,1980,,-1
Men,Shot Put 1A,Silver,WEBER Edund,FRG,,,Athletics,1980,,-1
Men,Shot Put 1C,Gold,SPIESS Guenter,FRG,,,Athletics,1980,,-1
Men,Shot Put 1C,Silver,HENKER Siegmar,FRG,,,Athletics,1980,,-1
Men,Shot Put A,Bronze,GRUNDMANN Dieter,FRG,,,Athletics,1980,,-1
Men,Shot Put C,Gold,JOSEFIAK Hans,FRG,,,Athletics,1980,,-1
Men,Shot Put C,Bronze,KUEHNEL E.,FRG,,,Athletics,1980,,-1
Men,Shot Put CP D,Bronze,IZLAKAR Franjo,YUG,,,Athletics,1980,,-1
Men,Shot Put D,Bronze,DORST G.,FRG,,,Athletics,1980,,-1
Men,Shot Put E,Gold,BEEZ Alois,FRG,,,Athletics,1980,,-1
Men,Shot Put F,Bronze,KERN Juergen,FRG,,,Athletics,1980,,-1
Men,Shot Put 2,Silver,HERTLE Walter,FRG,,,Athletics,1980,,-1
Men,Shot Put 4,Bronze,SCHUHBAUER Johann,FRG,,,Athletics,1980,,-1
Men,Discus Throw 1A,Silver,WEBER Edund,FRG,,,Athletics,1980,,-1
Men,Discus Throw A,Silver,GRUNDMANN Dieter,FRG,,,Athletics,1980,,-1
Men,Discus Throw C,Gold,JOSEFIAK Hans,FRG,,,Athletics,1980,,-1
Men,Discus Throw E,Gold,BEEZ Alois,FRG,,,Athletics,1980,,-1
Men,Discus Throw 2,Silver,OKOREN Joze,YUG,,,Athletics,1980,,-1
Men,Javelin 1C,Gold,SPIESS Guenter,FRG,,,Athletics,1980,,-1
Men,Javelin 1C,Silver,HENKER Siegmar,FRG,,,Athletics,1980,,-1
Men,Javelin C,Bronze,KUEHNEL E.,FRG,,,Athletics,1980,,-1
Men,Javelin E,Silver,BEEZ Alois,FRG,,,Athletics,1980,,-1
Men,Javelin 4,Gold,BENZ E.,FRG,,,Athletics,1980,,-1
Men,Javelin 4,Silver,SCHUHBAUER Johann,FRG,,,Athletics,1980,,-1
Men,Javelin 4,Bronze,PETERNELJ Marjan,YUG,,,Athletics,1980,,-1
Men,Pentathlon 1C,Gold,HENKER Siegmar,FRG,,,Athletics,1980,,-1
Men,Pentathlon 2,Gold,HERTLE Walter,FRG,,,Athletics,1980,,-1
Men,Pentathlon 4,Gold,SCHUHBAUER Johann,FRG,,,Athletics,1980,,-1
Men,Pentathlon 4,Bronze,FLACH W.,FRG,,,Athletics,1980,,-1
Men,Pentathlon 5,Bronze,OST P.,FRG,,,Athletics,1980,,-1
Women,400 m B,Gold,SCHAFHAUSEN I.,FRG,,,Athletics,1980,,-1
Women,400 m F1,Silver,SIEVERT U.,FRG,,,Athletics,1980,,-1
Women,400 m F1,Bronze,SCHAD Petra,FRG,,,Athletics,1980,,-1
Women,800 m A,Gold,WITTJE Susanne,FRG,,,Athletics,1980,,-1
Women,800 m B,Gold,SCHAFHAUSEN I.,FRG,,,Athletics,1980,,-1
Women,1500 m F1,Gold,SCHAD Petra,FRG,,,Athletics,1980,,-1
Women,1500 m 4,Bronze,ZEYHER C.,FRG,,,Athletics,1980,,-1
